Province	Island	Site	Area Transect	ID Transect	Data	Depth (m)	Species Richnes (spp/tran)	Density (ind/m2)	Biomass (g/m2)
tea	principe	praia_banana	40	prin_praia_banana_5227	jan_2016	5	17	1.6	208.27
tea	principe	praia_banana	40	prin_praia_banana_5228	jan_2016	5	15	4.58	148.29
tea	principe	ilheu_bombom	40	prin_ilheu_bombom_5176	jan_2016	10	22	11.53	171.38
tea	principe	ilheu_bombom	40	prin_ilheu_bombom_5172	jan_2016	11	16	5.12	171.99
tea	principe	ilheu_bombom	40	prin_ilheu_bombom_5166	jan_2016	10	13	3.92	169.6
tea	principe	ilheu_bombom	40	prin_ilheu_bombom_5175	jan_2016	11	18	5.9	750.53
tea	principe	praia_banana	40	prin_praia_banana_5225	jan_2016	4	17	5.03	32.37
tea	principe	praia_banana	40	prin_praia_banana_5224	jan_2016	6	18	3.27	50.56
tea	principe	ilheu_dos_mosteiros	40	prin_ilheu_dos_mosteiros_5097	jan_2016	10	14	1.92	175.09
tea	principe	praia_da_lapa	40	prin_praia_da_lapa_5141	jan_2016	5	17	6.42	146.56
tea	principe	ilheu_dos_mosteiros	40	prin_ilheu_dos_mosteiros_5092	jan_2016	11	22	5.05	635.14
tea	principe	praia_banana	40	prin_praia_banana_5232	jan_2016	5	21	7.28	303.58
tea	principe	praia_banana	40	prin_praia_banana_5226	jan_2016	4	22	4.72	314.97
tea	principe	ilheu_dos_mosteiros	40	prin_ilheu_dos_mosteiros_5091	jan_2016	10	19	4.05	231.38
tea	principe	ilheu_bombom	40	prin_ilheu_bombom_5167	jan_2016	10	14	2.67	50.97
tea	principe	ilheu_bombom	40	prin_ilheu_bombom_5178	jan_2016	10	19	6.35	483.65
tea	principe	praia_da_lapa	40	prin_praia_da_lapa_5147	jan_2016	8	10	2.58	107.81
tea	principe	praia_da_lapa	40	prin_praia_da_lapa_5142	jan_2016	6	17	12.95	198.2
tep_south	malpelo	nevera	40	mal_nevera_4995	apr_2015	20.4	10	2.42	412.56
cen_atla	ascension	northeast_point	40	asc_northeast_point_5050	aug_2015	7	15	4.58	653.61
tep_south	malpelo	arrecife	40	mal_arrecife_4954	apr_2015	17	22	12.43	2418.81
tep_south	malpelo	pared_del_naufrago	40	mal_pared_del_naufrago_4983	apr_2015	15	13	5.53	248.1
cen_atla	ascension	northeast_point	40	asc_northeast_point_5053	aug_2015	7	17	6.7	1058.39
swa	trindade	tunel	40	tri_tunel_299	jun_2009	44	16	1.4	715.63
swa	trindade	racha	40	tri_racha_242	jun_2009	30	11	1.18	1475.42
cen_atla	ascension	comfortless_cove	40	asc_comfortless_cove_5073	aug_2015	7	20	8.9	1177.51
